 AGRALE,,,,,,,,,
FL-14B,H2002,Z5022,P5021,,,,,,
FL-20,H2002,Z5022,P5021,J3003,J3004,,,,
FR-20,,P5021,,J3001,J3002,K4005(HI),,,
,,,,,,K4012(TH),,,
HD-7G 7000  Eng.,,Z5027,Z5028,,,K4009(HI),,,
HD-11.  HD-11B. HD-11EC. HD-11S,T2003 , T2008,Z5027,Z5028,J3023,,K4001(HI),,
,,,,,,,,,
HD-11G,T2003,Z5027,Z5028,J3023,,,,,
HD-12G. HD-12GS,(2) T2003,Z5027,Z5028,J3003,J3004,K4001(HI),,,
HD-16. HD-16AC. HD-16DC.,(2) T2003,Z5029,,J3024,,,,,
HD-16DP. HD-16G. HD-844,T2008 ,,,,,,,,
HD-16B. 16B,T2005 , (2) T2003,P5023,,J3009,J3010,,,
,,,,,,,,,
HD-20,T2003 , T2008,Z5029,,,,,,
,,,,,,,,,
HD-21 (hasta serie 12801),T2003 , T2008,Z5029,,J3025,,,,
,,,,,,,,,
HD-21A (desde serie 12802),T2003 , T2008,Z5029,,,,,,
,,,,,,,,,
HD-21B,(2) T2003 , T2005,Z5029,P5023,J3095,J3008,K4001(HI),,
,,,,,,,,,
HD-21G (hasta serie 13178),T2003 , T2008,Z5029,,J3025,,,,
,,,,,,,,,
HD-21G (desde serie 13179),T2003 , T2005,Z5029,,,,K4001(HI),,
,,,,,,,,,
HD-22B,T2003,Z5029,,J3095,J3008,,,,
HD-31,T2005,Z5034,,J3009,J3010,K4004(HI),,,
,T2007,,,,,K4002(TH),,,
HD-41B,(3) T2003,Z5034,,J3026,J3027,K4004(HI),,,
,T2005,,,,,K4002(TH),,,
TL-545,H2011,,,J3017,J3029,K4005(HI),,,
TL-653. TL-655,H2001,P5023,,,,,,,
FIAT ALLIS ,,,,,,(4090HI)(4106TH),,,
,,,,,,,,,
BERNARDIN,,,,,,,,,
B 190 TRACTOR ARTICULADO,,,,,,,,,
B 230 TRACTOR ARTICULADO,,,,,,,,,
280 DT TRACTOR ARTICULADO,,,,,,,,,
M 2120 190 HP  Cosechadora motor Perkins,,,,,,,,,
M 2120 HYDRO 230 HP Cosechador motor Perkins,,,,,,,,,
M 2160HYDRO 280 HP Cosechadora Volvo Penta,,,,,,,,,
M 2160 COSECHADORA motor MB 310 CV,,,,,,,,,
PAM 3000 PULVERIZADORA motor MB 135 CV,,,,,,,,,
,,,,,,,,,
CASE,,,,,,,,,
CASE 580M SERIE II motor Cummins ,H2212,P5073,,J3509R,J3510R,,,,
CASE 580 L motor Cummins,H2167,P5074,,J3528R,J3529R,,,,
580 (Brasil),H2013,(2) Z5020,,J3017,J3029,K4015(HI),,,
580,H2013,Z5068,,J3017,J3029,K4068(HI),,,
580 Super K motor Cummins,H2167,(2) P5073,,J3363,J3364,,,,
580 h motor perkins,H2013,,,,,K4099(HI),,,
 580H motor Cummins ,H2167,(2) P5073,,J3034,J3035,K4015(HI),,,
850 G TOPADORA motor Cummins,H2168,P5036,P5121,J3489,J3490,K4097 (HI),K4034(TH),,
STEIGER STX 325 325HP Tractor articulado,,,,,,,,,
 700. 730. 731. 750. 800 y 831,T2010,Z5028,,,,,,,
845 MOTONIV. motor Cummins 6BTA 5.9,,,,,,K4005(HI),,,
810. 900. 930.940. 1000 y 1010,T2102,Z5028,,,,,,,
888 Retroexcavadora 6Cil. 94 c/oruga,H2167,P5036,P5073,J3489,J3490,W6006,,,
1060. 1065 y 1160 motor Perkins 6-354,H2015,Z5035,Z5020,,,,,,
1060 y 1065 motor Chrysler 318,H2069,,,,,,,,
1150C,H2112,,,J3012,J3013,,,,
1450 motor A504-BDT),H2112,P5036,P5023,J3012,J3013,,,,
2155,,P5073,P5036,J3587,J3588,,,,
2470 (Tractor),(2) H2021,P5036,P5050,J3083,J3084,,,,
4220,H2021,P5074,,J3484,J3485,,,,
5140. 5150 motor Cummins,H2167,P5036,P5073,J3291,J3292,,,,
5250,H2168,P5073  P5136,P5036,J3489,J3490,,,,
9050 Retro excavadora frontal,H2198,P5142 CP,J3590R,J3693R,,K4107  H2046,W6006,,
9130,H2047,P5036,P5073,J3343,J3344,W6006,,,
9150 motor Caterpillar 3306,,,,J3095,J3008,,,,
CX-100 Perkins ingles 4 CIL Turbo,H2013,P5074,,J3520R,J3521R,,,,
MX 120 Tractor,H2168,P5073,P5073,,,K4068(TH),,,
MX 135 Tractor,H2168,P5073,P5073,,,,,,
CASE 125 PB,,,,,,K4122(HI),,,
Tractor,,,,J3289,J3290,,,,
