"vehiculo","filtro","created_at","updated_at"
1479,346,"2013-04-28 18:29:07","2013-04-28 18:29:07"
1620,346,"2013-04-28 18:29:27","2013-04-28 18:29:27"
1649,346,"2013-04-28 18:29:30","2013-04-28 18:29:30"
1660,346,"2013-04-28 18:29:33","2013-04-28 18:29:33"
1847,346,"2013-04-28 18:30:05","2013-04-28 18:30:05"
2164,346,"2013-04-28 18:30:50","2013-04-28 18:30:50"
2165,346,"2013-04-28 18:30:50","2013-04-28 18:30:50"
2167,346,"2013-04-28 18:30:50","2013-04-28 18:30:50"
2171,346,"2013-04-28 18:30:51","2013-04-28 18:30:51"
2172,346,"2013-04-28 18:30:51","2013-04-28 18:30:51"
2173,346,"2013-04-28 18:30:51","2013-04-28 18:30:51"
2174,346,"2013-04-28 18:30:51","2013-04-28 18:30:51"
2175,346,"2013-04-28 18:30:52","2013-04-28 18:30:52"
2176,346,"2013-04-28 18:30:52","2013-04-28 18:30:52"
2177,346,"2013-04-28 18:30:52","2013-04-28 18:30:52"
2178,346,"2013-04-28 18:30:52","2013-04-28 18:30:52"
2179,346,"2013-04-28 18:30:53","2013-04-28 18:30:53"
2180,346,"2013-04-28 18:30:53","2013-04-28 18:30:53"
2181,346,"2013-04-28 18:30:53","2013-04-28 18:30:53"
2184,346,"2013-04-28 18:30:54","2013-04-28 18:30:54"
2186,346,"2013-04-28 18:30:54","2013-04-28 18:30:54"
2187,346,"2013-04-28 18:30:54","2013-04-28 18:30:54"
2231,346,"2013-04-28 18:31:01","2013-04-28 18:31:01"
2232,346,"2013-04-28 18:31:01","2013-04-28 18:31:01"
2233,346,"2013-04-28 18:31:01","2013-04-28 18:31:01"
2244,346,"2013-04-28 18:31:03","2013-04-28 18:31:03"
2246,346,"2013-04-28 18:31:03","2013-04-28 18:31:03"
2247,346,"2013-04-28 18:31:03","2013-04-28 18:31:03"
2250,346,"2013-04-28 18:31:04","2013-04-28 18:31:04"
2251,346,"2013-04-28 18:31:04","2013-04-28 18:31:04"
2252,346,"2013-04-28 18:31:04","2013-04-28 18:31:04"
2253,346,"2013-04-28 18:31:04","2013-04-28 18:31:04"
2255,346,"2013-04-28 18:31:05","2013-04-28 18:31:05"
2256,346,"2013-04-28 18:31:05","2013-04-28 18:31:05"
2257,346,"2013-04-28 18:31:05","2013-04-28 18:31:05"
2305,346,"2013-04-28 18:31:11","2013-04-28 18:31:11"
2311,346,"2013-04-28 18:31:12","2013-04-28 18:31:12"
2313,346,"2013-04-28 18:31:12","2013-04-28 18:31:12"
