F100. F150 motor. Perkins 4-203;T2035;Z5035;;;;;;
F100. F150 motor. Perkins 4-203;T2035;Z5020 ;;;;;;
F100. F150 motor. Perkins 4-203;H2013;Z5020 ;;;;;;
F100. F150 motor. Perkins 4-203 PA  potenciado;H2013;Z5020 ;;J3184;;;;
F100. F150 motor. Perkins 4-203 PA  potenciado;H2013;Z5020 ;;J3195;;;;
F100. F150 XLT motor 4.9 ie (Venezuela);H2011;;;J3177 (PA);;;;
F100. F150. F150 4x4;H2011;Z5105;;;;;;
F100. F150. F150 4x4 motor 3.0 Max Econo;H2011;Z5105;;J3184;;;;
F100. F150. F150 4x4 motor V8;T2010;Z5105;;;;;;
F100 motor Cummins ISBE 3.9 DUTY Electron;H2212;;;J3197;J3198;;;
F-100  motor Cummins electronico;H2212;;;J3715;;;;
F1000 4X4 - Supercab motor MWM 4.3 diesel ;H2021;(2) P5136;;J3197;J3198;K4053 (DH);;
F250. F350. naftero U.S.A.;;P5045;;;;;;
RANCHERO. motor Borgward / VM HR 492H;H2085;P5074;;J3192;;;;
RANGER diesel;H2069;P5144;;J3406 (PA);;;;
RANGER U.S.A.;H2011;;;J3178;;;;
RANGER V6 - 3.0 L ;H2026;;;J3418;;;;
RANGER XL / XLT 4X2 V6 - 4 CIL. naftero;H2011;;;J3418;;;;
RANGER XLE / STX - 4 CIL. - 2.3 L ;H2011;;;J3418;;;;
RANGER;H2069;P5144;;J3454;;;;
RANGER 2.3 Nafta ;H2223;N1016;;J3394;;;;
RANGER motor Maxion 2.5;H2011;P5144;;J3465;;;;
RANGER 2.8 L diesel Power Stroker;H2069;P5169;;J3465;;;;
RANGER 3.0 motor Internacional Limited;H2050;;;;;;;
RANGER 3.0 motor  Maxion. Power Stroker Limited 4X4;T2209;P5191;;J3583R;;;;
RANGER 3.0 Power Stroker electronica;H2223;P5191;;J3583R;;;;
RANGER 3.0 Power Stroker electronica;H2223;;;J3583R;;;;
RANGER 2.4 naftero;;;;;;;;
RANGER 2.2 tdci;;;;;;;;
RANGER 2.5 ivct nafta ;;;;;;;;
RANGER 3.2 XLT Duratorq tdci;;;;;;;;
;;;;;;;;
;;;;;;;;
TRANSIT Turbo diesel  furgon  Maxion 2.5;H2126;Z5199;;J3362 (PA);;;;
TRANSIT motor 2.8 diesel;H2126;;;J3463 (PA);;;;
TRANSIT motor 2.8 diesel;;;;J3559 (PA);;;;
TRANSIT motor PUMA 2.4 L tdci;;;;;;;;
ECOSPORT 1.4 L Tdci  Duratorq;T2219E;P5205;;J3498(PA);;;;
ECOSPORT XLS 16 naftero 16 V;H2076;;;J3498(PA);;;;
ECOSPORT 2.0 16 V naftero;;;;J3539;;;;
ECOSPORT 2.0 diesel;H2076;;;;;;;
ECOSPORT 2.0 Automatica 16V 143 CV Duratec;H2085;;;;;;;
ECOSPORT 2.0 Automatica 16V 143 CV Duratec;H2085;;;;;;;
;;;;;;;;
 HONDA;;;;;;;;
CR-V SCOUT 4X4 2.0 L 16V;H2091 ; ;;J3473 (PA); ;;;
;;;;;;;;
HYUNDAI;;;;;;;;
JEEP 4X4 GALLOPER. EXEDED WAGON;H2014  ;P5112 ; P5047 (SS);;J3016 (CD) ;J3356 ;;
TUCSON 4 WD CRDI 16 V;H2095;;;J3479(PA);;;;
;;;;;;;;
ISUZU;;;;;;;;
PICK UP 4X4 motor 2.8 TD;H2094;P5112(CS) ; P5047 (SS);;J3185;;;
PICK UP 4X4 motor 3.1 TD;H2111;P5112(CS) ; P5047 (SS);;J3417;;;
PICK UP diesel;H2004;P5123;;;;;;
PICK UP diesel  ;T2093;;;;;;;
PICK UP diesel Serie 80;H2092;;;;;;;
PICK UP turbo diesel 3.1. turbo diesel intercooler 3.1;H2111;P5112(CS) ; P5047 (SS);;J3204;;;
PICK UP  2.5. 2.8. 2.9. TROOPER. diesel;H2094;P5078;;J3185;;;;
RODEO V6;H2131;;;;;;;
TROOPER IMPULSE;H2095;;;;;;;
;;;;;;;;
JEEP;;;;;;;;
CHEROKEE 2.5. 4.0 6 CIL. GRAND CHEROKEE 4.0 6CIL;H2068;;;J3209 (PA);;;;
CHEROKEE TD 4X4 2.7;H2086;;;J3359;;;;
GRAND CHEROKEE 4.0  6 CIL. ;H2068;;;J3404 (PA);;;;
GRAND CHEROKEE 5.2  V8;H2068;;;;;;;
GRAND CHEROKEE diesel;;;;J3405 (PA);;;;
GRAND CHEROKEE turbo diesel;H2086;;;J3405 (PA);;;;
GRAND CHEROKEE LIMITE motor B 5 CIL. 2.7;T2098;P5198;;J3404 (PA);;;;
JPX;;;;;;;;
MONTES 4X4 PICK UP 2.0;H2120;(2) Z5020;;J3016 (CD);;;;
;;;;;;;;
KORANDO / SSANGYONG;;;;;;;;
FAMILY. JEEP motor KIA ASIA;H2004;;;J3112;;;;
FAMILY. JEEP motor KIA ASIA;H2014;P5112;;J3214(CD) ; J3434;;;
MUSSO DX 2.9 ;T2152;P5163;;;;;;
MUSSO 2.3 V 10 diesel 4X4 motor M.Benz OM602;T2152;P5163;;;;;;
 MUSSO 3.0;T2152;P5163;;J3444 (PA);;;;
 MUSSO motor MB 602;;;;J3476 (PA);;;;
ISTANA DAEWOO motor M Benz. 5 CIL.;T2200;P5160;;;;;;
SSANG YONG MUSSO KORANDO 2.2 MB 2.3 OM 601 94;;P5160;;J3518(PA);;;;
;;;;;;;;
LAND ROVER;;;;;;;;
DEFENDER 4X4 2.5 tdi;H2048;P5074 ; P5136;;J3356 ; J3016 (CD);;
DEFENDER 90 3.5L;H2048;;;;;;;
DISCOVERY 2.5 diesel. 4X4 TDI;H2048;P5074  ; P5136;;J3387 (PA);;;
DISCOVERY 3.5 V8 ;H2048;;;;;;;
RANGER ROVER VOGUE 3.9;H2048;;;;;;;
;;;;;;;;
MAHINDRA;;;;;;;;
JEEP;H2120;Z5020;;J3399;;;;
WILLYS;H2120;Z5055;;;;;;
;;;;;;;;
MAZDA;;;;;;;;
B2200 PICK UP;H2004 ; H2173;P5113;;J3453;;;
B2500 y 2900;H2080;P5112;;;;;;
B 2.5 diesel 4 cilindros 12 Valvulas;H2014;P5047;;J3181;;;;
SERIE B DRIFTER 2.9;H2080;P5112;;;;;;
;;;;;;;;
MERCEDES BENZ;;;;;;;;
MB 180D. pick up. furgon. minibus;T2101;P5120;;J3220;;;;
VTT 4X4 240D;T2101;P5120;;J3339;;;;
SPRINTER 310D furgón. minibus motor MB OM014 2.8;H2068;P5144;;J3384 (PA);;K4053;;
VIANO 2.2 CDI TURBO SERIE VSA63829413382603;T2220;;;J3384 (PA);;;;
ML-270 CDI OM 612;T2220;;;;;;;
SPRINTER 308 CDI Turbo Post-enfriado OM 611. 2.2;T2220;P5198;;;;;;
SPRINTER 311 CDI Turbo Post-enfriad OM 611. 2.2;T2220;P5198;;;;;;
SPRINTER Serie 312;;;;J3384 (PA);;;;
SPRINTER 313 Turbo Postenfriado OM 611 2.2;T2220;P5198;;;;;;
SPRINTER Serie 413 CDI;T2220;P5198;;;;;;
SPRINTER cdi OM 611 983;T2220;P5198;;;;;;
VITO. VIANO 2.3 L TDI;T2200;P5163;;;;;;
VITO 108 CDI / 110. 112 OM 611;;P5198;;;;;;
;;;;;;;;
METRO;;;;;;;;
3500 Minibus;T2093;Z5146;;J3436;;;;
;;;;;;;;
MITSUBISHI;;;;;;;;
L-100;H2095;;;J3223;;;;
L-200;H2120;;;J3217;;;;
L-200 diesel 2.5;H2014;P5112 (CS);;;;;;
L-200 turbo diesel 2.5 Pick up. L200 Minibus DX ;H2136;P5112 (CS);;J3210(CD) ;;J3435;;
L-200 Turbo diesel  ;H2014;P5112(CS);;J3533R;J3556R;;;
MITSUBISHI (Continuación);;;;;;;;
L-200 turbo diesel intercooler;H2014;P5112 (CS);;J3214(CD) ; J3434;;;
L-200 TRITON 3.2 DI-D;;P5112(CS);;;;;;
L-300;H2120;;;J3224;;;;
L-300 diesel 2.5 PICK UP. L300 Minibus DX diesel;H2014;P5112 (CS);;J3016(CD);;;;
MONTERO diesel;H2014;P5112 (CS);;;;;;
MONTERO diesel;H2136;P5112 (CS);;J3016(CD) ; J3214 (CD);;;
MONTERO naftero 3.0 V6 ;H2095;;;;;;;
NATIVA TDI 2.5;H2014;P5112;;J3214;;;;
MONTERO 3.2  DI-D (V6C);H2136;P5160;;;;;;
;;;;;;;;
 NISSAN / DATSUN;;;;;;;;
 2.5 TD Intercooler;H2069;P5112;;J3469;;;;
2.5 Turbo Intercooler  NP 300;H2068;P5084 ; P5201;;J3701;;;
3.1 PICK UP;H2069;P5112 (CS);;J3391;;;;
3200;H2112;P5084;;J3419;;;;
3200 AX Limited;H2069;P5084;;J3419;;;;
AX 2.8D;;;;J3391;;;;
BERGADANA 3.1 ;H2069;P5112 (CS);;J3034;J3035;;;
MAXIMA 3.0 L - V6;H2162;;;;;;;
PATHFINDER 3.0 V6 diesel;H2162;;;;;;;
PATHFINDER PICK UP 2.7 turbo diesel;H2011;P5201;P5084;J3324;;;;
