 AEOLUS,,,,,,,
CAMION CHINO,T2176,Z5071,,J3087,J3031,W6003,
,,,,,,,
AGRALE,,,,,,,
DINAMIC STAR motor Deutz,H2021,(2) P5073,, J3034, J3035,,
AGRALE 9200 motor MWM 4.1 TCA,H2021,P5162,P5167,J3512R,J3527R,,
AGRALE 6000,,,,,,,
,,,,,,,
ASIA / KIA,,,,,,,
ASIA AM 825 4000 BUS - COMBI KIA,H2179,P5113,,J3135,,,
K 3600,H2079,P5113,,   J3028 (CD),,,
KIA BESTA MINIBUS,H2004 , H2182,,J3360,,,
KIA PREGIO LS 3.0 MINIBUS,H2179,P5083 (SC),,J3337,,,
KIA 2700,H2136,,,J3578,,,
KIA 3500 S CAMION,H2079,P5113,,   J3028 (CD),,,
KIA 2500 TCI,H2136,P5112(CS),,J3667,,,
,,,,,,,
DEUTZ,,,,,,,
MAGIRUS DEUTZ ,H2021,Z5020    ,P5073,J3040,J3041,,
AGRALE DYNAMIC F4 F 913 Y BF 4 L913,H2021,Z5042,(2) P5073,J3034,J3035,,
STALLION 15-160 (Turbo) BF6 L 513 RC,H2022,P5074,,J3087,J3031,,
STALLION  11-130 F 6 L 913 V,H2022,P5074,,J3087,J3031,,
FRONTAL AGRALE MA 7.5 T MA 8.5T MWM 4.1 T 4.3,H2022,P5074,,J3087,J3031,,
AGRALE DYNAMIC F4 F 913 Y BF 4 L913,,,,,,,
AGRALE CAMION 6000. 6000 CD MWM SPRINT 4.07 TCA 2.8,H2206,P5166,,J3512R,J3527R,,
AGRALE CAMION 7000 MWM 4.10 4.3 I,H2021,P5161 CP,,J3512R,J3527R,,
AGLALE CAMION 7500 MWM 4.10 Turbo 4.3 I,H2021,P5161 CP,,J3512R,J3527R,,
AGLALE CAMION 8500,H2021,P5161 SV,,J3512R,J3527R,,
DEUTZ AGRALE,,,,J3508R,,,
DEUTZ AGRALE BUS MA 7.5 T motor MWM 4.10 TCA ,H2021,P5161 CP,,J3512R,J3527R,,
DEUTZ AGRALE BUS  MA 8.5 T motor MWM 4.10 TCA,H2021,P5161 CP,,J3512R,J3527R,,
,,,,,,,
,,,,,,,
BELAVTOMAZ,,,,,,,
CAMION con turbo,T2171,Z5130,Z5129,J3315,,,
CAMION sin turbo,T2171,Z5130,Z5129,J3314,,,
,,,,,,,
BLAC,,,,,,,
LIVIANO motor 3.3 diesel,T2176,Z5071,,,,,
,,,,,,,
CHEVROLET / GMC,,,,,,,
14-190 Turbo Intercooler 6.6 Lts. Caterpillar 3116,H2033 , T2005,,J3552R,J3553R,,
15-190 frontal motor Caterpillar,H2033 , T2005,,J3073,J3074,,
15-190 Turbo Intercooler 6.6 Lts. Caterpillar 3116,,,,,,,
16-220 Turbo Intercooler 6.6 Lts. Caterpillar 3116,H2033 ,P5119,,J3409,,,
C-50. C-60. C-70,T2035,(2)Z5055,,    J3132 (CO),,,
C-50. C-60. C-70,T2035,(2)Z5020,,    J3132 (CO),,,
D-50 H. D-60 H. D-70 H,T2035,Z5069,,,,,
D-6000. D-6000 turbo,H2069,P5074,,J3036,J3037,,
D-14000 turbo (Brasil),H2015,Z5020 (2),,J3087,J3031,KI4053,
KODIAK 16-220 motor Caterpillar,H2033 , T2005,P5182,,,,
KODIAK 14-190 motor Caterpillar turbo intercooler,H2033 , T2005,P5182,J3552R,J3553R,,
KODIAK 15-190 motor Caterpillar turbo intercooler,H2033 , T2005,P5182,,,,
NPR 4.3 diesel turbo motor Isuzu,H2221,P5078,,J3403,,,
NPR 4.8 diesel Turbo Intercooler motor Isuzu ,H2221, (2) P5078,P5084,J3467,,,
NPR 4.8 diesel Turbo Intercooler motor Isuzu ,H2221, P5078,,J3467,,,
,,,,,,,
DAEWOO,,,,,,,
CAMION con turbo,T2129,(2) Z5038,,J3357,J3358,,
CAMION sin turbo,T2129,,, J3191,J3241,,
,,,,,,,
DAIHATSU,,,,,,,
DELTA diesel,H2069,P5131,,J3125,,,
,,,,,,,
DIMEX,,,,,,,
1416,H2168,P5121,P5036,,,W6006,
D-916 motor 6BTA,H2168,P5121,P5136,,,,
D-1316. D-1418. D-1422T. D-1618 motor 6BTA,H2168,P5121,P5136,J3576,J3577,,
D-1416 6 BTA ,H2168,P5121,P5036,J3579R,J3580R,W6006,
D-1619 motor 6BTA,H2168,P5121,,J3576,J3577,,
D-1622 T motor 6BTA,H2168,P5121,P5136,J3576,J3577,,
D-1625 motor 6BTA,H2198,P5121,P5036,J3576,J3577,W6006,
D-1725 motor 6 CTAA,H2198,P5121,P5036,J3579R,J3580R,W6006,
D-1721 motor 6BTA. D-1725 CTAA,H2168,P5121,P5036,J3579R,J3580R,W6006,
D-1731 motor M11E-310/D-1737. D-2737 motor M11E-370,H2198,P5142,,J3576,J3577,W6006,
D-2731 motor L-10/D-9400 motor N14-435,H2198,P5142,,J3576,J3577,W6006,
,,,,,,,
DONG FENG,,,,,,,
MOTOR 3.9,T2176,Z5146,,J3087,J3031,P5136(TA),
,,,,,,,
DOGDE,,,,,,,
DODGE / CHRYSLER,,,,,,,
DP 600. DP 800 motor Perkins,T2035,Z5071,,,,,
DP 600. DP 800 motor Perkins,H2015,(2) Z5020,,,,,
DD 900 motor Deutz,H2021,(2) P5073,,,,,
DD 1000 motor Deutz turbo,H2022,(2) P5073,,J3087,J3031,K4053,
RAM 6500 motor Cummins 210 HP turbo ,H2168,P5074,Z5135,J3170 ,J3172,,
,,,,,,,
